ID;Age;Sex;Group;T1P1;T1P2;T1P3;T1P4;T1P5;T1P6;T1P7;T1P8;T1P9;T1P10;T1P11;T1P12;T1P13;T1P14;T1P15;T1P16;T1P17;T1P18;T1P19;T1P20;T1P21;T1P22;T1P23;T1P24;T1P25;T1P26;T1P27;T1P28;T1P29;T1P30;T1P31;T1P32;T1P33;T2P1;T2P2;T2P3;T2P4;T2P5;T2P6;T2P7;T2P8;T2P9;T2P10;T2P11;T2P12;T2P13;T2P14;T2P15;T2P16;T2P17;T2P18;T2P19;T2P20;T2P21;T2P22;T2P23;T2P24;T2P25;T2P26;T2P27;T2P28;T2P29;T2P30;T2P31;T2P32;T2P33;T3P1;T3P2;T3P3;T3P4;T3P5;T3P6;T3P7;T3P8;T3P9;T3P10;T3P11;T3P12;T3P13;T3P14;T3P15;T3P16;T3P17;T3P18;T3P19;T3P20;T3P21;T3P22;T3P23;T3P24;T3P25;T3P26;T3P27;T3P28;T3P29;T3P30;T3P31;T3P32;T3P33
MRA07;27;1;UIB;4;5;3;5;4;3;2;2;5;2;4;2;5;1;4;5;3;2;4;4;3;4;1;4;2;2;4;4;4;2;4;3;3;5;5;3;5;4;3;2;2;5;3;5;3;5;2;4;5;3;2;4;4;3;5;2;3;2;2;4;4;4;2;4;3;3;4;4;4;4;5;4;4;5;4;4;5;4;5;4;4;5;4;5;4;5;4;4;4;5;4;4;5;5;4;4;5;4;5
MSC19;21;1;UIB;3;4;3;4;2;5;3;2;4;3;3;4;4;3;4;4;3;4;3;3;3;4;2;2;1;3;0;3;3;2;3;2;3;3;4;3;4;3;4;2;2;5;3;3;2;3;3;4;4;3;3;3;3;2;3;4;3;2;2;2;3;3;1;4;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;3;3;2;3;3;3;3;3;3
MSM19;20;1;UIB;4;4;3;5;4;5;4;4;5;2;5;1;5;3;3;5;1;1;3;3;3;4;2;4;1;1;4;5;5;2;3;2;3;3;4;2;5;3;3;3;4;4;4;3;3;3;2;2;3;2;1;2;3;3;3;1;3;1;3;2;4;4;2;3;2;2;2;4;3;4;3;4;4;2;4;2;3;2;4;4;2;3;2;1;4;2;2;3;1;3;2;2;2;2;3;1;3;2;3
PCG17;25;0;UIB;4;5;4;5;2;5;4;3;3;2;4;5;5;1;4;4;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;1;5;2;3;5;4;4;2;5;3;5;4;1;2;4;4;2;4;2;3;4;2;3;2;4;2;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
RCG20;28;0;UIB;4;5;1;3;4;5;3;1;5;3;5;3;5;1;3;5;3;3;5;4;2;2;2;1;1;3;3;1;4;1;3;5;4;3;5;5;5;3;2;3;5;5;3;5;4;3;1;3;5;4;0;4;3;3;5;3;3;4;3;0;4;4;1;4;5;5;2;5;4;5;1;4;1;3;4;3;4;4;4;3;4;3;4;3;4;3;4;5;2;3;2;2;4;2;4;2;4;5;5
RHM17;21;0;UIB;4;5;4;5;3;5;5;1;5;3;5;5;5;2;5;3;5;2;5;5;5;4;5;5;3;5;5;2;1;1;5;5;5;5;4;5;5;5;5;1;1;5;4;5;3;5;4;5;5;5;4;5;5;4;5;4;5;3;2;4;1;4;1;4;5;5;5;5;4;4;4;5;2;2;5;4;5;3;5;1;4;4;5;1;4;5;4;5;2;5;1;4;5;3;5;1;5;5;5
SJA03;21;1;UIB;4;3;3;4;2;4;3;2;3;2;4;4;3;3;3;3;2;2;2;3;2;4;2;2;2;2;3;3;3;2;4;2;3;3;3;3;3;3;4;3;3;3;2;3;2;3;3;4;4;2;3;2;4;2;4;2;2;2;2;3;3;4;2;3;2;3;3;3;2;4;2;4;2;3;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
VAT01;26;1;UIB;3;3;3;4;2;4;3;2;3;3;3;2;4;3;3;3;2;3;3;3;4;3;2;2;1;3;2;3;3;2;2;2;2;3;4;3;4;2;3;3;3;4;3;3;2;3;3;3;4;3;2;4;3;2;4;3;3;3;3;3;2;3;2;4;2;3;3;3;3;4;3;3;3;3;4;3;3;3;3;3;4;5;2;3;4;4;2;4;2;2;2;2;2;2;4;2;3;2;2
ACR07;23;0;UCV;4;4;2;4;2;3;2;2;4;2;3;2;4;2;4;4;3;2;3;3;2;3;2;3;4;2;3;5;4;2;3;2;4;4;4;2;4;3;2;4;3;4;3;2;4;3;4;3;4;2;1;4;3;1;4;2;3;2;3;3;3;3;3;3;3;3;4;4;4;4;3;3;3;2;4;2;4;2;4;3;4;3;3;1;4;3;2;4;2;3;2;2;3;3;3;2;4;4;4
AGM15;28;0;UCV;4;3;1;4;3;4;4;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;1;5;3;2;3;2;3;2;3;2;3;3;3;3;3;3;3;3;1;3;3;3;1;3;3;1;3;1;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
ARZ05;23;0;UCV;5;4;3;5;1;3;3;3;3;1;3;3;4;3;5;5;1;2;3;4;4;1;1;3;1;3;4;4;5;2;4;2;4;5;4;3;5;2;3;1;3;5;1;4;3;5;1;5;5;1;2;5;4;1;4;1;4;1;2;3;4;4;1;4;2;5;5;4;3;5;3;5;1;2;5;2;4;3;5;1;5;5;2;2;5;4;1;4;1;4;1;1;4;3;5;1;5;2;5
ASM15;23;1;UCV;3;4;2;5;3;4;4;4;4;3;4;4;3;3;3;4;2;2;4;4;2;2;2;3;2;2;3;4;4;4;4;3;3;4;3;5;5;3;5;3;3;5;3;2;4;5;2;3;5;2;2;2;1;3;4;1;2;1;2;3;1;4;2;4;4;4;4;4;3;5;3;5;2;3;4;3;3;4;4;2;4;4;2;2;3;3;3;5;2;3;1;1;4;4;4;3;4;3;3
ATC16;22;0;UCV;3;3;4;3;2;4;3;2;3;3;3;4;3;3;3;3;3;2;4;3;3;2;2;3;2;2;2;4;3;2;3;3;2;3;3;3;4;3;4;3;2;4;2;3;3;4;2;3;3;2;3;3;3;3;3;2;2;2;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;2;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3
avg01;27;0;UCV;4;4;3;4;1;4;3;3;4;4;4;3;4;3;4;4;2;3;4;4;3;3;3;3;3;1;3;4;4;3;3;3;3;5;4;3;4;3;4;4;3;4;2;3;3;3;2;4;3;3;3;3;3;3;4;4;5;4;4;3;4;3;4;4;2;4;5;4;3;4;3;4;4;3;4;2;3;3;3;2;4;3;3;3;3;3;3;4;4;5;4;4;3;4;3;4;4;2;4
BFO07;30;1;UCV;3;2;5;4;1;3;3;4;3;5;3;5;4;2;2;1;1;1;1;1;5;3;1;5;3;3;4;5;2;4;4;1;3;3;3;5;5;1;4;3;5;4;4;4;5;5;1;4;3;1;1;1;3;3;2;1;3;2;3;2;5;4;4;4;3;3;5;4;3;4;3;4;4;3;4;2;3;3;3;2;4;3;3;3;3;3;3;4;4;5;4;4;3;4;3;4;4;2;4
COV21;22;1;UCV;4;5;2;5;5;3;2;2;4;3;3;2;4;2;3;4;2;2;4;3;3;5;2;3;1;2;3;2;3;4;4;3;2;4;5;2;5;4;4;2;2;4;3;2;2;2;2;3;4;3;2;4;4;2;5;3;3;1;3;2;2;4;2;4;4;3;3;5;2;5;5;3;3;1;5;4;3;2;3;3;2;4;3;3;4;3;2;5;3;3;1;3;3;3;4;2;4;3;3
EMR25;26;0;UCV;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;2;4;4;3;4;4;4;4;4;3;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;2;4;4;3;3;3;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;3;2;4;3;3;3;3
EPM21;21;1;UCV;4;4;4;4;4;4;2;2;5;2;4;2;4;2;4;4;1;5;3;4;2;3;3;2;1;1;4;2;4;1;4;2;3;4;4;4;4;5;4;3;4;4;3;4;3;4;3;4;4;2;5;3;4;2;4;3;3;1;2;4;2;4;1;4;4;3;3;4;3;4;4;4;2;1;5;2;4;1;4;2;5;4;2;2;3;4;2;4;4;3;1;1;4;2;5;1;4;4;3
FFG12;21;0;UCV;3;3;3;3;2;4;3;4;3;3;4;3;4;2;4;3;3;3;4;3;3;4;3;3;3;4;3;3;4;3;3;2;3;3;3;4;4;3;4;4;4;3;3;2;3;4;4;4;3;3;4;4;3;3;4;2;2;2;3;4;3;2;4;4;3;3;3;4;3;2;3;3;4;4;3;3;4;3;4;4;4;4;4;3;3;4;3;4;3;4;3;3;4;4;4;4;3;2;3
IGP27;22;1;UCV;4;4;4;5;1;3;4;2;4;3;3;2;3;3;4;5;2;2;4;5;2;4;2;3;1;2;4;5;4;1;5;1;4;4;5;3;5;2;4;2;2;4;3;4;2;3;3;4;5;4;3;4;4;2;4;2;3;1;3;3;4;4;2;4;3;4;5;5;3;5;2;4;3;3;5;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JGE16;27;0;UCV;2;3;2;4;2;3;4;2;4;3;4;5;4;2;3;4;3;1;3;5;2;5;2;2;2;3;1;5;3;2;4;4;1;3;4;3;5;1;4;5;3;5;3;4;5;4;3;4;4;2;2;4;3;2;4;3;2;2;2;3;5;3;3;3;3;1;3;5;4;5;2;3;3;4;5;3;4;2;4;3;3;4;3;2;4;4;2;5;0;0;0;0;0;0;0;0;0;0;0
JSD6;36;0;UCV;4;4;3;4;3;3;3;2;4;3;3;3;3;3;3;4;2;2;3;3;4;4;3;3;2;3;2;3;3;2;3;2;2;4;4;2;4;3;4;2;2;4;2;3;2;2;3;3;3;2;2;3;3;2;3;3;3;2;2;2;2;3;1;4;4;3;3;4;3;3;3;3;2;2;3;3;3;3;3;3;3;3;2;3;4;3;2;3;3;3;2;2;2;2;3;2;3;3;3
MFR17;22;1;UCV;3;5;4;5;4;3;2;2;5;4;4;2;3;3;3;5;3;2;4;2;1;3;2;3;1;1;3;2;3;1;3;2;3;3;5;3;5;3;3;3;3;5;1;4;2;3;2;4;5;3;3;5;4;1;4;2;3;1;1;3;3;4;1;4;2;3;4;5;2;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
MGN06;22;1;UCV;2;5;4;5;2;4;2;3;5;4;2;3;4;4;5;4;3;2;4;3;4;3;3;3;2;2;3;4;4;1;3;4;4;4;5;4;4;3;4;2;2;4;3;3;3;3;2;5;3;2;2;2;2;3;4;2;3;3;2;5;5;4;2;3;4;5;3;5;3;4;2;4;2;3;5;4;3;4;4;3;5;3;1;2;2;3;3;3;2;3;4;3;4;4;4;2;4;3;3
MMC03;22;1;UCV;2;5;4;5;3;4;3;4;5;2;3;1;4;2;5;5;1;4;5;4;2;1;3;3;1;2;3;1;4;1;4;2;3;3;4;3;4;2;3;3;3;4;3;4;3;4;4;3;5;4;4;5;4;4;4;2;3;4;3;1;3;4;1;3;3;3;3;4;3;4;2;4;3;2;4;3;4;3;3;3;0;4;2;2;4;3;2;2;2;3;2;3;3;3;4;2;4;3;2
MNS22;21;1;UCV;5;5;5;5;2;4;1;2;5;3;3;4;5;2;3;5;2;3;5;5;1;4;2;4;1;2;4;4;4;3;4;3;4;5;5;3;5;3;4;4;3;4;4;4;5;4;2;3;5;3;4;0;4;2;5;2;4;2;3;4;4;4;3;4;4;3;5;5;5;5;3;4;4;4;5;3;3;3;4;4;4;5;2;5;4;4;1;5;3;4;1;2;3;4;5;3;5;2;4
MTR21;27;0;UCV;4;4;4;5;3;5;2;2;4;2;4;2;4;2;4;4;2;4;4;5;1;4;3;3;1;1;4;4;5;1;4;2;3;5;4;3;5;4;5;2;2;4;2;4;2;4;3;5;5;2;3;4;4;2;4;3;3;1;1;4;3;5;1;4;2;4;4;4;2;5;4;5;2;2;5;2;4;2;4;2;4;5;2;3;5;4;2;4;4;3;1;2;4;2;4;2;4;2;3
PLC21;20;1;UCV;4;5;3;5;2;4;1;3;4;2;4;1;5;2;4;5;3;1;4;5;2;4;2;2;1;1;3;3;4;1;5;2;4;4;4;3;5;2;4;2;1;4;2;2;2;4;2;4;5;2;1;4;4;2;4;3;3;1;2;3;2;4;2;4;2;3;2;5;2;5;3;4;1;1;5;2;2;2;4;2;4;5;2;2;5;4;2;5;3;3;1;1;3;4;4;1;5;2;3
PLG29;21;1;UCV;4;4;3;4;2;4;3;3;4;3;3;3;3;3;3;4;3;3;4;3;3;3;3;4;3;3;3;3;3;2;2;3;3;4;4;3;4;3;4;4;3;4;2;4;3;3;3;4;3;3;4;4;4;2;4;3;3;3;2;3;3;3;3;3;3;3;3;4;2;4;3;4;3;3;4;3;4;3;4;3;4;4;3;2;4;3;2;4;3;3;2;3;3;3;3;3;3;3;3
PRG18;22;0;UCV;3;3;3;3;3;3;3;3;5;3;3;2;5;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;3;5;1;5;1;3;5;1;3;5;5;3;2;4;4;1;4;2;4;5;1;4;1;1;5;2;2;2;4;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
VLS27;20;0;UCV;4;4;2;4;1;5;2;2;4;4;3;3;4;2;4;5;2;3;4;4;2;4;3;4;2;3;3;2;4;3;4;4;4;5;5;3;5;3;5;2;3;5;3;4;5;4;2;5;5;2;2;5;4;1;4;4;1;1;1;3;2;3;3;4;4;4;5;5;3;5;2;5;1;3;5;3;4;5;5;2;5;5;3;3;5;4;2;5;3;3;2;2;2;2;4;4;5;5;4
WS08;22;1;UCV;4;5;3;5;3;5;1;1;5;2;5;3;5;2;5;5;1;4;5;5;1;5;2;2;1;2;4;2;5;1;5;2;4;4;5;3;5;3;4;1;1;5;2;4;3;5;1;5;5;1;4;5;5;1;5;2;3;1;1;4;2;5;1;4;1;5;4;5;4;5;3;5;2;2;5;3;5;3;5;2;5;5;2;3;5;5;1;5;2;4;1;2;4;3;5;1;5;1;5
